,vacance_name,salary_min,salary_max,salary_curr,href,source
118,Data Scientist (Направление геология и разработка месторождений),,,,https://hh.ru/vacancy/76090068?from=vacancy_search_list&query=Data+scientist,http://www.gazprom-neft.ru
119,Senior Data Scientist (WAF),,,,https://hh.ru/vacancy/74252170?from=vacancy_search_list&query=Data+scientist,https://www.ptsecurity.com/ru-ru/
120,Senior Аналитик / Senior Data Science (Москва),,,,https://hh.ru/vacancy/75601449?from=vacancy_search_list&query=Data+scientist,http://zaymigo.com
121,Senior Python developer (MLOps),3500.0,, EUR,https://hh.ru/vacancy/72709055?from=vacancy_search_list&query=Data+scientist,http://www.wisebits.com/
122,Data Engineer направления разработки витрин данных,,,,https://hh.ru/vacancy/69418341?from=vacancy_search_list&query=Data+scientist,
123,Senior Python developer (MLOps),3500.0,, EUR,https://hh.ru/vacancy/72696394?from=vacancy_search_list&query=Data+scientist,http://www.wisebits.com/
124,Data engineer,,,,https://hh.ru/vacancy/76453654?from=vacancy_search_list&query=Data+scientist,
125,Machine Learning Engineer,,,,https://hh.ru/vacancy/76102956?from=vacancy_search_list&query=Data+scientist,
126,Data Engineer,,,,https://hh.ru/vacancy/76273545?from=vacancy_search_list&query=Data+scientist,
127,Data Engineer,,,,https://hh.ru/vacancy/76273800?from=vacancy_search_list&query=Data+scientist,
128,ML-инженер (Data Scientist),,,,https://hh.ru/vacancy/76734803?from=vacancy_search_list&query=Data+scientist,http://www.chitai-gorod.ru
129,Аналитик данных (Data Scientist),,,,https://hh.ru/vacancy/77023624?from=vacancy_search_list&query=Data+scientist,http://www.azurair.com
130,Junior Data scientist (RecSys),,,,https://hh.ru/vacancy/76975464?from=vacancy_search_list&query=Data+scientist,
131,Junior Data Scientist,,,,https://hh.ru/vacancy/71582181?from=vacancy_search_list&query=Data+scientist,
132,Data Scientist,,,,https://hh.ru/vacancy/76980581?from=vacancy_search_list&query=Data+scientist,http://www.gazprom-neft.ru
133,Data scientist,,,,https://hh.ru/vacancy/69570766?from=vacancy_search_list&query=Data+scientist,
134,Аналитик / Data scientist,,,,https://hh.ru/vacancy/76914442?from=vacancy_search_list&query=Data+scientist,https://okkam.group/
135,Data Scientist,,,,https://hh.ru/vacancy/76911902?from=vacancy_search_list&query=Data+scientist,http://www.gazprom-neft.ru
136,Senior Data Scientist (оценка моделей),,,,https://hh.ru/vacancy/74135137?from=vacancy_search_list&query=Data+scientist,
137,Data Scientist / ML-разработчик,,,,https://hh.ru/vacancy/72559915?from=vacancy_search_list&query=Data+scientist,https://stdpr.ru
138,Data Scientist,,,,https://hh.ru/vacancy/76752308?from=vacancy_search_list&query=Data+scientist,https://dhabits.ru
139,Data Analyst (американская компания),4000.0,7000.0, USD,https://hh.ru/vacancy/76437346?from=vacancy_search_list&query=Data+scientist,http://www.id-hr.com
140,Team Lead (Применение моделей),,,,https://hh.ru/vacancy/76350190?from=vacancy_search_list&query=Data+scientist,
141,Senior C++ Developer,,,,https://hh.ru/vacancy/75837956?from=vacancy_search_list&query=Data+scientist,
142,Старший менеджер продукта Supply/Demand,,,,https://hh.ru/vacancy/76987830?from=vacancy_search_list&query=Data+scientist,
143,Team Lead/Senior developer ML,,,,https://hh.ru/vacancy/76145269?from=vacancy_search_list&query=Data+scientist,http://element-lab.ru/
144,Старший инженер по внедрению (SberWorks),,,,https://hh.ru/vacancy/76881257?from=vacancy_search_list&query=Data+scientist,
145,Управляющий директор \ Data Scientist (Сопровождение процесса разработки и использования моделей),,,,https://hh.ru/vacancy/68330853?from=vacancy_search_list&query=Data+scientist,
146,Инженер данных (Data Engineer),,,,https://hh.ru/vacancy/76789901?from=vacancy_search_list&query=Data+scientist,http://siberianwellness.com
147,Инженер данных,,,,https://hh.ru/vacancy/75640167?from=vacancy_search_list&query=Data+scientist,http://gpm-rtv.ru
148,Руководитель проектов (Data Office),,,,https://hh.ru/vacancy/76772401?from=vacancy_search_list&query=Data+scientist,
149,Senior Python разработчик,,,,https://hh.ru/vacancy/76697648?from=vacancy_search_list&query=Data+scientist,https://anabar.ai
150,Senior/Middle Java Developer,250000.0,350000.0,руб.,https://hh.ru/vacancy/76796572?from=vacancy_search_list&query=Data+scientist,http://www.vigo.ru
151,Frontend Developer (Vue),180000.0,,руб.,https://hh.ru/vacancy/76810414?from=vacancy_search_list&query=Data+scientist,https://rockits.ru/
152,Системный аналитик в команду сбора статистики,,,,https://hh.ru/vacancy/75783683?from=vacancy_search_list&query=Data+scientist,
